A,B,C,D,F
30,62,2,11,1
14,10,3,4,1
42,43,2,6,2
35,9,3,6,4
51,15,0,2,0
70,16,1,2,4
19,25,1,0,4
43,40,3,10,2
7,50,2,7,0
20,20,1,10,1
66,48,0,8,1
28,65,3,1,4
59,37,1,11,0
63,32,0,12,3
58,38,0,11,3
13,51,3,6,0
47,61,0,12,1
2,63,2,11,4
26,29,2,3,1
63,70,3,3,0
2,34,1,11,1
5,57,1,7,3
5,49,0,9,1
55,20,3,2,4
4,41,1,6,4
41,40,2,2,4
34,21,1,6,0
5,0,2,6,0
54,28,0,12,1
24,57,0,0,4
22,47,3,12,1
16,27,1,5,0
61,6,1,8,4
13,12,0,0,0
26,39,3,12,3
20,17,0,8,0
10,14,0,9,5
0,52,2,3,3
18,17,1,10,4
3,49,2,7,0
13,62,2,11,4
6,67,3,5,0
7,32,3,10,0
29,39,0,12,5
36,18,2,12,1
50,63,2,7,3
10,60,1,11,2
17,60,0,12,5
47,66,0,7,5
69,23,2,7,1
58,65,2,4,2
61,17,3,8,1
62,42,3,10,0
38,67,3,1,3
60,41,3,10,3
58,8,0,9,3
58,69,1,7,0
6,69,2,6,1
54,55,2,0,2
51,36,3,10,1
44,1,2,9,4
52,37,1,5,5
25,9,3,1,2
48,22,0,5,3
43,21,2,6,3
23,60,0,6,0
1,40,3,1,1
52,21,0,9,4
37,15,3,4,1
11,19,2,1,1
59,17,1,7,0
12,30,1,7,5
39,64,0,0,2
13,54,3,10,5
14,1,0,3,4
50,17,2,0,5
53,53,0,12,1
30,8,2,12,2
67,31,2,9,3
64,30,0,6,2
33,30,3,3,5
64,32,1,9,4
1,68,2,10,2
37,33,2,10,0
58,39,3,10,4
12,23,0,11,4
9,37,1,9,3
50,52,3,12,3
47,13,2,2,3
29,43,3,0,3
51,30,2,7,2
30,5,3,11,4
40,67,1,2,3
6,6,3,2,0
15,54,0,5,5
63,25,1,2,2
35,69,0,12,0
61,10,1,7,5
39,47,3,1,2
25,45,2,7,2
50,10,2,11,2
6,4,2,0,3
16,67,2,4,3
18,13,1,6,0
52,65,3,4,5
21,30,2,1,4
14,53,0,9,4
4,35,2,8,1
29,67,2,1,0
55,64,3,10,4
48,52,2,8,2
21,48,3,4,3
20,67,1,7,3
54,68,2,11,2
41,68,0,12,4
52,65,1,11,3
14,46,3,8,2
57,60,2,1,3
69,9,3,5,1
38,65,1,11,5
64,21,0,11,0
20,30,0,1,1
41,15,1,1,0
29,9,1,9,3
49,51,0,4,4
64,35,0,0,5
20,24,3,6,5
25,23,0,4,2
26,23,3,7,0
27,52,0,5,1
29,4,1,5,4
13,62,1,9,1
30,65,3,2,2
22,14,0,12,0
64,70,2,6,0
64,24,2,7,2
33,46,0,3,5
45,2,1,1,3
14,16,2,6,2
14,47,3,12,0
26,48,0,8,1
15,48,1,8,5
70,16,0,7,3
27,33,2,5,2
51,4,0,0,5
47,38,1,6,3
35,56,3,7,0
16,66,1,12,5
35,62,1,12,0
21,48,2,10,4
0,18,3,5,5
38,67,2,9,0
32,3,1,8,0
38,51,0,2,4
58,60,1,3,3
45,34,3,0,0
38,16,1,11,4
68,51,0,11,4
6,61,3,8,4
60,36,1,5,1
64,46,1,0,0
9,36,3,10,5
39,55,0,10,3
34,46,3,0,5
43,21,1,7,5
53,24,1,7,4
60,15,1,0,4
63,65,2,7,1
17,55,0,4,1
67,48,3,3,5
41,24,0,7,1
27,68,1,12,4
47,9,2,9,4
36,67,3,2,3
15,56,3,7,5
62,23,1,1,5
43,1,2,7,3
20,8,1,3,2
53,30,0,3,5
6,12,3,12,3
9,28,0,4,2
67,66,3,6,3
37,56,0,10,1
58,45,1,11,2
17,51,2,5,3
8,1,2,0,2
44,42,2,12,5
6,20,2,10,3
1,5,0,2,4
13,22,0,9,0
33,67,1,6,3
19,65,0,8,4
17,25,3,10,2
70,1,1,8,1
27,16,2,12,1
55,66,2,2,3
11,52,2,12,0
40,1,0,0,4
36,60,2,9,4
1,25,3,0,1
18,4,3,4,0
15,51,1,5,2
1,34,3,4,3
27,5,3,1,0
36,11,3,12,0
54,9,2,11,1
69,58,2,6,1
64,64,3,9,3
25,65,2,1,4
8,28,3,11,4
34,61,2,4,3
70,26,1,7,3
44,66,3,5,4
37,35,2,12,2
26,29,0,3,2
32,34,3,11,1
42,52,3,4,5
58,57,1,5,5
22,32,3,6,3
31,57,0,9,5
32,10,2,0,5
6,25,3,2,5
55,4,3,8,1
64,15,2,8,5
58,3,2,8,3
24,12,1,11,3
29,13,3,7,3
28,17,3,4,3
28,27,0,10,1
38,21,0,0,2
9,13,3,10,5
33,13,1,8,0
39,18,2,12,1
19,32,0,12,5
63,14,1,8,3
18,27,2,11,1
4,58,1,12,1
60,14,3,7,3
55,1,0,6,1
36,45,3,4,3
17,61,2,10,4
28,21,2,9,1
41,27,2,8,4
24,32,2,7,2
21,38,2,3,5
33,13,1,2,2
63,48,0,8,1
49,0,3,11,4
29,9,3,3,5
5,51,2,4,4
11,3,2,6,2
22,37,1,0,3
22,38,2,1,3
14,70,2,3,3
66,10,0,6,3
46,59,0,10,2
22,37,2,3,5
8,62,0,3,4
19,27,2,5,5
46,35,0,6,2
65,6,2,0,4
52,56,0,5,3
61,37,1,3,5
18,19,1,6,4
19,55,2,0,3
13,18,1,1,4
23,19,0,6,1
70,13,0,4,0
44,66,0,2,4
23,3,0,9,0
68,21,0,2,3
64,14,0,8,2
53,46,0,4,1
11,37,0,0,1
42,36,0,9,4
15,62,3,2,5
68,38,1,1,0
43,0,1,8,4
44,50,3,11,3
12,4,3,5,2
2,25,1,3,2
15,22,1,12,4
63,51,1,11,1
43,34,2,12,5
25,3,1,10,2
62,44,3,11,0
18,10,3,9,1
2,54,1,3,5
24,61,1,1,5
60,24,1,4,5
20,58,3,4,2
50,9,0,5,5
52,9,3,0,5
26,23,0,1,5
46,30,1,0,1
46,15,1,2,5
45,61,1,8,1
44,13,3,10,5
38,44,2,10,1
10,68,3,5,5
0,53,1,12,5
38,58,3,3,2
31,63,1,1,0
41,45,2,9,1
44,50,3,12,1
13,34,1,8,0
11,44,1,2,0
38,53,3,0,5
20,24,3,10,5
53,29,1,7,0
7,58,3,10,2
58,47,0,3,3
1,12,3,7,1
60,59,0,2,2
3,66,2,8,3
10,54,2,6,1
26,69,1,5,2
32,67,3,10,1
64,44,2,4,0
9,64,2,3,0
43,10,3,5,0
32,30,3,3,1
2,39,2,6,0
8,24,0,3,5
45,5,0,5,5
54,4,3,8,4
22,63,1,9,4
50,7,0,2,5
36,31,1,5,2
48,21,2,5,1
60,52,3,8,3
36,45,3,3,2
69,23,1,3,2
56,48,0,6,1
63,13,3,1,0
59,49,2,6,1
61,2,0,12,5
24,6,0,8,1
36,54,2,10,1
29,0,0,1,1
24,65,1,5,4
26,23,1,11,2
20,12,3,0,2
27,6,2,6,4
27,56,3,12,5
13,0,0,7,1
46,7,3,7,4
22,12,2,3,0
61,37,2,5,5
39,27,1,8,3
43,16,0,9,5
28,42,3,2,3
30,0,1,5,4
20,6,0,12,5
41,33,1,0,4
54,60,2,6,2
30,7,1,11,4
50,65,0,9,2
42,11,3,4,3
55,66,3,5,1
2,19,2,12,4
49,29,1,10,5
9,39,3,8,0
28,57,1,3,3
39,4,2,8,0
11,6,3,5,4
27,33,0,10,1
17,61,0,9,3
34,49,3,12,0
20,6,3,2,3
9,62,3,11,0
65,20,2,7,5
33,52,3,0,3
53,32,0,8,4
1,53,0,7,2
29,70,3,7,1
5,26,1,3,4
22,40,3,6,2
33,20,0,12,5
69,14,1,4,3
6,15,3,11,0
66,2,1,11,0
5,51,0,5,4
29,41,2,11,3
10,21,2,10,0
22,30,3,0,0
21,27,3,5,2
53,48,2,7,4
67,8,2,9,4
58,1,1,5,3
10,68,2,0,5
70,30,3,3,4
11,59,1,8,2
4,37,3,1,4
65,60,1,12,0
54,10,1,10,3
69,33,3,3,1
41,42,0,1,0
19,61,3,7,0
28,60,0,2,5
57,41,1,11,1
63,37,3,7,1
49,59,3,8,3
29,2,0,5,0
31,32,3,10,0
51,22,2,0,2
40,6,1,11,5
5,11,1,0,2
67,64,2,12,2
34,48,3,2,5
38,50,0,8,1
24,32,1,1,5
11,12,0,10,2
1,55,3,4,3
56,6,3,4,0
41,53,0,2,4
47,57,0,3,2
25,55,3,0,0
18,47,0,7,5
32,67,1,0,1
9,28,1,8,3
0,43,2,9,1
31,69,2,1,4
20,6,3,8,0
69,13,1,1,4
18,48,2,5,1
37,14,2,6,2
18,67,1,7,0
8,10,0,11,3
40,69,1,5,2
31,2,2,2,0
66,68,0,3,2
34,3,1,6,5
52,7,1,7,4
23,9,1,7,1
9,14,0,11,0
6,61,1,8,1
55,40,1,3,4
40,15,2,7,4
33,53,1,7,0
48,36,0,3,0
63,63,3,3,2
63,15,3,9,1
4,52,0,7,4
18,55,0,0,0
7,17,3,2,3
45,56,0,5,1
6,36,0,5,0
50,0,3,4,2
1,36,0,9,1
69,35,0,9,4
7,17,0,11,0
29,9,0,7,0
17,15,3,3,2
45,66,3,4,1
52,45,0,11,5
45,55,0,9,5
52,62,2,1,2
51,39,2,3,3
64,48,3,2,3
55,39,0,11,5
25,1,2,3,1
18,40,1,11,5
5,3,2,6,4
21,31,1,10,1
12,67,0,0,1
43,8,3,10,2
22,26,3,2,3
25,45,2,11,1
29,9,0,6,1
57,65,2,11,1
46,46,1,11,0
52,14,3,3,0
15,8,3,11,1
29,53,0,8,1
58,64,2,7,4
29,21,0,6,3
1,61,3,1,1
65,50,2,5,0
37,7,3,4,4
67,4,1,1,0
68,31,0,4,5
60,54,0,8,0
0,63,2,8,2
6,43,2,8,0
66,4,0,11,3
63,63,1,4,2
18,30,0,0,0
18,6,3,3,5
32,14,2,8,3
11,21,0,10,4
57,15,2,2,3
35,16,3,1,3
29,43,3,10,2
16,11,2,4,0
32,36,0,12,1
53,12,2,11,2
7,3,2,0,3
19,61,3,4,3
52,50,2,12,0
61,27,2,11,4
63,44,2,10,4
64,64,0,1,1
32,31,0,8,5
36,20,3,8,2
52,38,0,11,2
0,13,3,8,4
21,62,0,5,3
27,44,2,8,5
46,55,2,9,5
5,30,0,2,5
21,50,3,1,5
65,8,3,1,2
59,39,1,3,5
27,57,0,0,1
52,43,0,5,2
12,4,3,12,0
44,44,2,1,4
68,11,2,0,4
4,62,0,2,1
12,69,0,6,2
7,30,2,10,5
5,24,0,9,1
9,9,1,10,0
21,25,1,0,1
52,13,1,10,4
1,27,1,5,3
1,3,2,4,0
7,66,1,0,0
52,41,1,11,0
43,9,0,12,4
15,36,2,8,3
30,70,1,5,2
10,10,1,3,4
43,60,3,6,5
22,38,1,2,2
15,8,1,4,1
32,29,3,10,3
32,0,3,8,4
32,49,2,8,2
27,53,3,6,0
32,6,2,6,5
12,60,0,5,1
25,24,1,12,4
13,64,1,12,5
10,17,3,10,4
55,11,1,0,1
42,44,1,5,4
32,1,0,7,4
32,2,1,1,0
47,24,2,1,1
29,5,1,8,5
19,27,2,9,2
22,29,2,6,2
48,6,2,6,2
21,17,0,4,1
20,0,3,4,1
23,47,3,5,0
8,58,2,1,3
32,26,0,0,5
18,62,3,11,5
16,45,3,1,4
9,20,3,1,2
48,14,1,9,0
66,18,1,2,4
21,29,3,1,0
33,55,1,10,4
45,22,0,11,2
43,62,3,2,0
12,39,2,12,2
31,21,1,12,3
51,65,0,6,4
46,31,3,2,4
44,45,3,4,0
54,55,0,9,4
63,17,1,2,4
27,31,0,9,2
53,16,1,2,1
68,7,0,7,5
11,1,2,12,5
25,50,0,3,4
55,21,1,12,0
25,28,0,2,4
29,15,0,12,3
20,40,2,5,1
42,26,1,5,2
2,62,0,9,4
26,13,3,7,0
63,47,2,2,4
33,7,3,8,2
69,35,3,0,3
2,45,3,6,2
48,47,2,1,4
60,17,0,1,1
35,4,3,11,2
21,52,0,1,0
35,23,1,11,3
19,48,3,2,4
35,34,0,10,1
67,62,0,1,0
59,27,0,6,1
53,1,0,0,3
66,31,0,1,0
32,58,0,12,4
69,68,2,2,1
21,64,2,5,3
57,54,1,5,5
51,49,2,7,4
34,50,2,8,0
6,3,0,8,1
51,1,3,3,4
25,54,3,5,4
56,13,3,1,4
41,37,3,12,0
62,48,0,0,2
54,31,0,6,1
5,55,3,2,1
31,33,0,8,2
7,10,3,11,4
69,27,2,10,2
33,10,3,11,0
1,59,3,1,5
21,57,3,12,4
21,56,2,2,2
35,65,0,3,3
14,4,0,9,2
4,70,3,0,4
67,20,1,7,3
48,6,0,0,4
7,59,3,3,3
25,18,2,2,5
48,24,1,6,0
44,5,1,11,5
58,38,0,3,0
42,40,1,10,0
38,20,3,10,1
52,59,1,1,2
37,34,0,0,4
70,60,0,10,5
68,50,2,1,3
19,16,2,0,2
68,43,3,12,3
8,46,3,7,0
5,20,0,3,4
40,1,0,6,0
1,8,0,4,5
49,66,3,9,2
47,48,3,12,0
19,68,2,10,2
48,52,2,10,2
63,63,0,7,1
37,33,2,2,2
29,37,0,6,5
11,15,2,0,1
70,67,3,2,0
10,0,2,3,5
34,44,1,12,5
52,6,1,2,2
8,61,3,0,0
2,47,0,1,1
13,32,2,7,1
61,19,2,3,5
47,6,2,4,4
18,43,1,8,5
51,14,1,2,3
51,43,0,4,4
42,47,2,1,3
23,69,0,8,2
56,20,0,10,1
26,70,0,11,5
46,65,3,3,0
8,67,3,2,5
70,56,2,8,3
34,59,0,12,3
35,2,3,11,0
48,29,1,9,1
60,29,1,11,4
44,37,0,11,3
67,60,3,6,4
58,70,0,5,2
38,15,3,2,4
32,9,1,8,4
33,53,0,9,1
39,13,2,3,5
23,35,3,7,0
64,5,0,12,0
37,18,3,5,1
44,19,0,4,2
17,18,2,7,3
1,63,0,1,1
50,40,2,2,0
5,53,1,8,4
68,14,3,8,1
34,11,3,11,3
35,8,2,1,4
20,18,1,4,5
66,59,1,9,0
24,1,3,9,2
26,14,3,4,2
14,66,0,2,1
32,62,3,1,2
20,50,3,4,2
4,58,1,6,1
41,2,0,10,1
6,1,3,7,1
38,33,0,6,0
53,17,0,1,0
44,47,1,7,3
62,9,1,5,5
6,32,2,6,0
61,65,3,6,4
37,50,3,4,5
14,61,2,7,4
46,5,0,0,3
10,42,1,12,0
31,57,2,11,2
5,25,1,9,4
37,48,3,1,1
64,61,0,11,3
19,36,3,1,1
60,35,1,7,1
56,32,2,12,4
67,10,0,4,5
41,8,3,7,3
42,63,3,10,1
28,56,0,1,3
39,31,2,6,1
28,58,0,9,1
41,53,3,9,5
29,20,0,8,3
58,9,3,9,0
61,5,3,12,0
64,10,3,1,1
11,18,0,11,0
31,65,1,8,0
70,38,2,7,5
35,67,1,8,5
22,63,2,5,3
51,4,3,12,4
61,69,2,7,0
57,33,0,6,4
8,4,3,9,1
67,0,0,4,1
30,41,0,5,4
43,39,1,2,1
44,36,3,2,2
26,18,0,8,0
6,69,0,6,3
45,65,3,1,4
42,7,0,11,0
18,61,1,4,2
21,70,0,9,0
5,56,2,3,2
26,37,1,11,2
31,26,3,7,1
43,65,1,2,3
16,36,1,10,1
10,11,3,4,0
43,34,2,3,3
69,53,0,5,5
34,19,3,0,2
49,31,1,1,2
51,46,0,6,3
68,35,2,1,4
70,54,1,6,0
31,61,2,1,1
52,16,1,0,3
34,67,1,8,2
9,4,0,0,0
70,57,0,11,1
63,31,1,0,4
13,50,2,0,5
42,53,3,0,5
46,26,1,5,0
39,69,1,11,4
2,39,1,11,0
36,13,2,2,4
4,26,2,3,5
20,4,3,1,3
14,65,0,6,1
64,22,1,0,2
34,2,1,9,5
35,30,3,10,2
4,23,3,0,4
62,0,2,4,1
1,4,3,8,5
29,66,0,12,3
19,54,3,6,0
50,69,2,7,0
52,67,3,11,0
11,66,1,9,1
31,0,3,12,0
5,34,1,1,1
25,53,1,6,5
59,2,3,10,4
32,4,2,10,1
6,40,1,10,0
24,23,1,2,2
55,24,0,8,3
45,45,2,7,2
4,51,1,3,1
63,2,3,5,4
59,0,2,9,2
7,12,0,7,2
56,36,0,9,5
30,20,3,4,2
6,63,2,9,2
36,10,1,0,3
60,31,1,2,1
54,4,3,10,2
10,63,3,7,3
27,38,3,6,2
37,39,1,9,1
48,45,3,9,0
58,42,3,1,2
66,32,2,6,4
56,62,2,11,4
39,64,0,8,5
36,36,0,1,4
69,47,2,1,5
48,12,1,1,3
26,47,0,1,3
10,3,2,6,3
1,23,2,12,5
10,42,2,9,1
0,46,2,1,3
1,40,3,12,5
14,48,3,5,4
14,28,3,9,5
68,57,2,3,1
52,48,1,10,0
47,51,0,7,3
9,50,2,0,4
14,38,1,3,5
24,0,2,3,2
4,57,0,0,1
30,59,3,6,0
26,51,3,1,4
48,12,2,0,4
55,6,1,11,2
49,52,3,3,4
1,46,2,10,4
19,14,2,6,1
32,57,1,1,0
26,52,3,1,3
27,11,1,6,0
18,23,0,8,1
55,31,3,9,2
3,7,0,3,0
19,44,2,1,1
17,27,1,3,4
24,7,0,9,3
70,27,1,3,1
3,23,0,2,1
25,32,0,4,2
14,24,0,1,0
33,69,3,9,4
65,39,1,9,4
0,41,2,7,1
16,60,3,7,4
21,10,3,7,1
33,63,3,5,4
48,32,3,6,0
52,30,0,10,1
9,51,3,6,2
28,54,1,4,5
18,45,2,4,0
20,33,2,8,2
15,55,1,4,0
45,4,0,7,5
60,50,2,4,5
70,59,3,9,1
10,2,0,8,4
52,63,2,6,4
39,54,3,12,0
15,68,3,5,5
18,47,2,5,1
3,24,2,4,3
3,5,2,2,2
58,25,2,2,0
60,7,2,12,5
14,26,3,8,5
45,19,0,3,5
28,15,3,1,2
37,49,0,8,2
30,6,1,11,1
39,54,0,1,1
35,8,1,10,0
22,27,3,12,2
43,36,0,1,5
7,55,0,0,5
16,47,2,9,0
19,21,3,0,1
69,47,0,7,5
44,39,0,7,4
67,5,1,0,3
63,30,1,5,4
7,29,3,7,3
7,55,0,2,3
2,23,3,12,3
42,44,2,2,3
46,60,0,4,3
0,6,1,5,0
2,43,1,3,4
44,67,2,0,5
51,14,1,10,2
46,33,1,11,0
49,11,0,11,0
17,9,3,8,3
3,65,2,8,2
7,8,2,8,5
31,34,2,9,1
65,27,2,3,5
24,32,1,12,3
36,1,2,1,3
19,60,3,5,3
29,8,3,0,1
13,13,0,2,2
54,3,3,10,5
46,66,3,3,1
39,34,1,1,3
22,69,0,12,5
56,41,2,0,3
12,32,2,11,2
34,36,0,3,3
50,50,0,8,2
41,47,3,12,5
44,44,0,9,1
48,22,2,1,4
25,43,0,2,4
8,16,2,2,1
67,23,1,5,4
46,66,3,10,1
30,40,2,10,2
29,29,0,12,2
18,56,0,3,4
62,20,0,5,5
5,8,0,3,3
47,58,1,10,3
60,16,0,1,5
19,19,3,11,3
15,32,0,8,5
33,14,3,6,4
10,14,2,6,1
22,54,3,1,2
6,52,3,4,0
46,70,1,5,0
69,36,0,8,0
52,11,3,12,3
29,5,1,2,1
11,69,1,5,3
61,27,3,3,4
21,20,3,7,3
11,41,0,4,5
0,62,0,10,0
3,14,0,7,2
41,26,3,4,2
45,59,3,5,5
51,29,2,2,1
10,18,0,12,5
53,19,0,0,2
21,13,1,3,1
2,50,2,3,5
30,51,3,6,0
47,14,1,11,3
14,40,2,3,4
7,4,2,0,5
54,10,2,10,1
18,14,2,3,4
58,54,2,8,2
5,44,0,2,2
37,37,0,5,5
67,40,2,12,3
21,6,1,8,1
36,26,1,3,4
0,38,2,9,2
55,18,2,9,2
3,6,3,1,1
1,31,2,6,3
4,40,1,6,4
34,36,3,10,4
1,47,0,4,3
21,8,0,11,2
5,67,1,12,1
32,55,0,5,4
23,8,3,6,4
55,16,3,11,0
31,37,0,4,5
51,29,0,9,1
62,2,2,0,3
56,34,2,12,3
4,41,3,11,1
37,39,1,2,4
16,70,2,4,5
49,60,3,3,0
6,25,2,7,4
21,44,2,6,5
29,39,3,12,1
42,38,3,4,5
29,47,1,1,5
7,31,3,8,4
33,5,0,11,0
31,36,0,1,5
42,63,1,0,0
69,43,1,5,5
66,31,1,7,4
36,8,2,7,5
37,18,0,0,3
1,18,0,10,4
52,46,0,6,0
17,29,0,3,1
65,37,0,8,3
39,1,3,10,1
55,70,1,10,0
6,2,3,3,5
18,10,0,11,5
1,32,0,9,0
41,48,2,12,2
46,9,1,5,4
16,9,2,9,0
1,61,0,3,1
10,18,3,7,5
20,8,1,1,5
59,9,1,1,0
52,50,1,11,3
42,61,0,9,2
46,39,2,4,4
62,9,2,11,1
48,68,2,0,2
52,70,2,4,3
10,44,0,9,4
29,25,2,4,5
6,11,2,0,2
0,56,1,6,3
14,60,0,4,5
45,51,2,6,5
30,34,2,1,4
52,33,1,11,5
13,12,0,1,2
39,10,2,6,3
30,24,0,3,0
5,24,2,9,4
14,25,2,10,1
64,68,1,1,1
57,22,1,12,3
68,60,3,1,0
11,65,2,10,4
45,52,1,12,3
35,14,2,9,4
35,25,3,11,5
19,11,2,0,3
50,39,3,0,5
23,32,2,1,5
13,9,0,10,2
37,19,2,11,0
5,37,1,5,0
40,54,0,5,3
35,9,0,7,0
34,14,0,10,4
21,11,2,2,4
2,7,2,3,3
14,37,1,4,4
18,63,3,2,5
19,51,0,5,2
20,2,1,4,3
9,21,2,6,1
56,7,1,8,5
18,18,0,5,3
40,8,2,7,4
16,31,0,3,5
6,26,3,10,0
3,66,2,7,4
5,8,0,1,4
42,27,0,9,2
51,3,0,5,2
46,16,1,2,3
8,51,3,12,5
56,22,1,7,1
48,26,2,3,5
25,64,2,12,1
68,26,1,1,4
29,2,1,11,0
53,20,0,9,2
31,48,0,3,2
54,38,3,6,3
17,36,0,2,2
41,62,1,6,4
45,7,1,3,3
23,61,3,11,5
44,9,3,3,1
30,63,2,9,5
21,5,0,4,1
2,23,3,3,0
52,27,0,11,4
8,61,0,4,5
18,25,2,10,4
52,17,3,11,1
29,48,3,11,4
1,2,3,10,3
35,51,3,11,4
29,57,1,2,0
38,33,0,2,3
70,3,3,12,2
67,31,3,3,2
7,12,2,7,1
39,30,2,4,1
64,30,0,10,5
50,16,3,2,5
56,8,2,2,5
35,14,0,9,0
60,67,3,4,5
61,58,2,9,1
47,9,3,10,1
51,66,1,3,1
40,58,0,9,5
64,69,2,7,3
63,24,0,11,3
18,30,3,6,3
58,21,0,5,2
28,58,2,4,1
12,0,3,1,5
34,14,3,6,1
43,55,2,10,1
65,65,1,11,3
32,61,1,6,5
43,27,3,10,0
68,55,1,0,1
48,12,0,3,5
31,32,3,4,2
44,20,3,3,5
49,69,3,12,3
42,37,1,3,3
27,32,3,9,3
46,13,1,9,4
2,46,3,9,1
70,17,3,2,1
33,52,1,10,1
36,4,0,11,0
56,13,1,2,4
22,30,0,8,2
32,12,3,9,1
23,64,2,8,5
0,56,2,4,5
69,53,2,1,1
66,34,0,2,2
41,6,3,9,1
38,42,0,4,0
45,68,1,3,0
8,42,2,12,5
49,9,0,4,4
9,0,3,5,4
58,62,3,8,2
6,20,2,4,0
61,38,3,8,3
59,31,0,3,5
35,37,0,5,0
40,3,2,10,5
58,23,2,2,5
58,42,0,10,2
9,18,2,1,1
37,45,1,7,1
22,8,2,11,4
42,14,1,9,2
10,28,0,6,3
45,16,0,7,3
0,15,2,3,0
25,23,3,7,0
32,48,2,12,3
49,50,1,5,5
25,51,1,3,5
49,70,0,3,2
60,5,2,11,3
41,44,1,7,2
10,28,2,10,4
58,32,2,0,3
34,53,1,2,3
35,22,2,12,2
47,39,0,0,1
47,5,2,8,2
60,23,3,9,1
8,47,0,1,5
64,30,3,3,3
15,35,1,7,0
66,0,1,8,1
37,69,3,10,5
48,48,3,10,3
63,59,3,8,4
28,4,1,8,4
60,1,2,6,2
67,33,2,2,5
5,62,2,4,4
9,50,2,8,5
69,48,0,5,0
43,56,1,5,2
42,4,0,9,3
45,13,1,2,5
15,70,0,8,3
52,60,1,8,0
60,60,0,4,4
3,30,1,0,0
13,50,1,12,2
63,20,1,12,0
60,6,0,1,0
58,41,0,12,0
45,14,1,12,2
66,45,0,2,5
13,63,2,9,1
12,10,1,5,1
60,47,0,6,3
3,25,2,11,3
29,38,1,8,3
63,7,3,3,3
25,45,3,9,3
62,26,2,3,4
46,65,0,9,3
58,33,0,11,5
24,30,2,7,2
13,4,2,3,3
7,25,0,7,1
4,32,3,5,2
46,53,3,7,3
59,15,3,11,4
20,9,3,7,4
45,25,1,6,0
5,14,1,5,5
66,36,2,6,2
5,43,1,7,0
60,68,2,8,1
32,38,1,3,4
27,15,0,0,1
41,58,0,4,4
10,59,0,8,3
68,46,2,10,0
2,6,0,7,3
31,58,1,0,5
30,63,1,12,2
17,55,2,1,1
31,3,1,1,2
17,54,3,9,3
13,35,2,7,5
12,30,2,7,4
69,15,0,8,2
0,68,1,8,4
63,10,2,12,2
11,55,3,5,0
21,26,0,10,0
63,22,0,8,5
12,19,3,3,2
35,12,0,2,4
10,32,1,9,5
22,39,0,4,5
8,56,2,7,1
26,68,2,9,2
2,29,2,12,4
17,29,1,2,2
48,64,2,3,0
56,39,1,4,1
59,2,3,6,3
48,61,3,0,0
22,16,0,0,2
35,51,3,0,2
44,47,0,7,4
17,9,3,10,4
38,0,3,7,4
27,35,2,9,0
21,46,0,11,0
31,7,1,1,0
0,43,3,11,5
53,59,0,12,1
57,29,3,3,5
21,38,3,2,5
30,35,3,6,0
42,57,3,5,1
16,55,0,0,4
57,60,2,11,3
17,13,1,0,4
3,36,3,3,0
33,58,2,10,3
45,43,1,8,2
30,19,0,7,5
29,42,1,4,4
43,21,2,4,4
17,59,0,5,5
31,60,3,11,4
1,37,1,11,2
35,28,0,9,5
46,62,1,4,4
43,54,2,1,4
32,37,0,0,0
35,1,2,12,4
21,20,3,2,0
6,27,1,9,4
15,3,2,7,4
50,39,3,5,2
56,54,3,3,0
50,40,2,7,0
8,62,1,10,1
39,66,0,1,2
0,62,2,0,1
53,62,2,10,3
54,9,0,11,2
8,67,0,2,0
41,46,2,6,5
0,67,3,5,3
46,1,3,10,3
61,51,2,0,1
5,1,3,1,1
38,32,0,12,4
57,3,3,2,0
23,26,0,1,3
51,20,3,9,0
65,23,2,1,3
11,52,0,7,3
25,69,3,9,0
55,42,1,8,0
38,64,2,6,2
12,44,3,9,4
40,10,0,1,1
13,40,3,12,0
66,5,3,2,2
52,63,1,9,4
62,52,2,9,2
6,64,3,4,1
64,62,0,1,3
11,7,0,5,2
6,31,0,1,1
19,18,2,0,2
21,44,0,0,1
21,42,2,0,2
35,29,0,1,5
62,12,3,11,3
21,25,3,10,2
50,29,3,9,2
47,56,3,3,5
61,19,3,11,4
70,41,0,4,3
12,27,2,5,5
6,27,2,2,1
55,60,1,4,5
6,48,3,2,1
21,1,0,1,4
33,44,1,2,2
67,69,1,3,3
5,2,0,7,1
54,50,3,5,1
69,49,0,11,1
35,33,3,3,4
17,21,0,2,0
54,53,2,12,2
69,66,3,6,0
46,24,3,2,0
0,16,1,2,1
45,17,1,6,2
24,42,1,10,3
50,31,3,7,3
5,37,1,11,0
37,56,1,10,5
23,30,3,6,1
38,28,0,7,5
7,2,1,11,1
25,3,3,8,2
27,62,0,8,0
10,51,2,1,2
32,55,1,12,5
11,45,3,0,5
18,18,0,3,4
22,51,1,10,1
38,8,0,8,4
29,33,0,10,4
54,42,2,0,1
23,17,1,3,5
42,16,0,4,5
69,4,0,9,2
49,40,2,5,5
29,61,2,1,5
2,33,1,2,0
69,47,0,7,3
13,6,0,8,1
34,5,0,1,5
19,64,2,11,1
38,47,1,12,3
31,33,2,10,4
13,46,2,8,4
20,37,2,5,4
67,57,2,7,0
55,9,0,9,1
22,60,2,1,5
27,48,0,10,1
36,56,2,6,1
39,38,1,1,4
24,2,2,4,1
9,46,0,1,3
66,0,3,12,4
28,62,1,9,3
40,70,1,2,1
66,66,1,9,4
26,40,1,4,1
24,31,2,9,5
6,23,0,10,5
