A,B
10,69
30,54
54,41
30,25
53,37
0,32
12,34
19,15
18,38
14,66
11,36
55,38
42,11
52,5
23,64
26,62
50,54
10,5
13,62
61,21
26,34
7,43
54,11
16,11
18,65
22,67
48,66
62,42
35,37
32,64
44,2
8,24
41,65
42,34
29,50
3,48
44,7
24,46
32,64
36,64
50,8
3,45
28,45
23,58
61,28
57,46
52,30
18,44
20,45
22,8
61,10
9,24
65,26
3,57
7,47
43,45
13,59
53,52
19,23
41,59
18,41
25,63
62,48
46,28
29,17
54,37
3,6
66,55
37,21
20,51
24,46
59,17
10,10
12,29
13,7
31,15
6,3
56,38
61,48
47,45
54,64
58,35
63,58
11,19
0,31
30,7
22,24
15,31
9,5
16,32
23,9
16,27
4,7
12,70
69,24
46,70
42,53
50,69
53,43
60,26
40,61
12,70
60,2
51,32
4,70
55,64
9,3
4,3
36,41
50,2
52,31
24,27
28,33
19,26
8,4
54,11
53,3
29,48
5,32
39,5
51,24
32,18
54,30
38,57
63,67
14,0
27,39
29,8
57,7
68,17
62,39
46,70
65,11
53,62
21,62
6,42
52,64
23,14
12,46
41,54
35,16
55,70
8,33
51,46
21,47
24,21
9,5
22,34
49,33
39,21
37,7
30,18
25,40
10,64
40,8
46,13
47,34
5,60
19,34
29,11
45,40
23,15
5,20
44,37
22,12
62,46
48,26
33,21
64,15
1,55
30,67
60,47
37,25
17,46
23,6
48,57
21,47
18,8
48,63
40,54
49,21
15,35
38,47
18,27
12,47
8,17
13,3
65,24
27,18
62,43
15,48
7,9
45,70
1,69
58,23
55,34
14,6
44,46
31,37
64,38
43,42
7,2
43,10
10,40
15,30
68,28
16,16
27,53
26,61
45,19
33,2
69,29
5,62
16,47
8,3
21,30
63,53
20,33
60,65
27,23
51,49
13,50
26,40
2,5
45,11
36,54
41,50
25,19
44,0
37,2
58,58
67,69
66,43
68,69
54,45
35,65
23,53
16,58
8,47
69,48
58,67
68,10
37,6
68,33
68,21
62,16
28,48
56,7
28,13
28,63
27,43
10,51
64,29
53,2
24,1
42,48
53,37
58,66
69,8
14,59
25,0
70,24
58,29
38,62
29,65
51,65
42,31
21,62
67,11
41,63
65,14
68,13
8,1
39,8
33,17
0,40
16,21
51,25
3,68
41,67
42,12
10,64
66,26
21,19
50,5
59,67
28,44
28,6
23,0
50,22
27,0
24,61
61,33
13,30
9,24
11,59
70,63
7,56
48,62
10,46
25,17
34,29
61,22
5,4
58,27
22,2
59,27
3,25
48,40
39,69
69,26
0,49
35,69
55,60
10,18
38,41
38,16
56,12
58,55
20,63
50,41
8,54
51,37
48,36
50,65
33,65
59,44
47,44
17,54
23,25
54,16
11,34
50,8
38,8
28,39
0,23
12,68
8,41
38,3
9,65
33,39
41,23
54,64
8,40
45,27
21,47
37,44
7,42
15,58
20,11
50,51
57,26
60,42
63,31
8,53
70,56
58,60
40,17
19,34
47,70
6,1
15,29
58,1
56,31
63,62
32,29
37,36
64,40
26,42
32,5
41,35
31,5
68,9
47,44
5,29
43,47
56,39
23,65
53,4
69,22
31,61
43,20
50,68
32,28
17,33
66,2
48,28
6,25
42,51
62,27
39,54
7,37
11,24
15,9
20,60
24,21
55,52
44,52
5,36
49,65
59,54
64,64
16,47
24,4
32,1
9,63
61,70
62,51
27,20
46,22
42,23
28,16
31,35
57,1
30,16
10,8
55,2
5,35
45,27
3,52
1,59
28,41
20,5
23,52
10,57
0,28
14,22
4,6
46,5
26,63
59,23
69,23
59,58
70,39
54,27
35,60
12,49
54,55
53,58
23,58
40,10
63,52
39,3
56,26
38,70
2,6
45,35
8,50
50,59
31,7
39,10
8,14
70,17
48,31
67,20
16,68
52,15
34,39
58,55
29,20
6,13
43,33
42,19
10,56
14,55
47,41
9,22
42,29
64,5
9,68
17,55
64,33
34,24
27,23
47,15
10,66
13,13
32,4
50,34
42,28
43,56
52,63
15,55
15,40
6,26
39,14
5,35
52,18
46,14
44,64
50,55
63,38
43,17
56,68
66,24
7,7
53,61
44,54
3,14
59,7
43,57
50,0
44,69
63,66
1,3
21,1
61,54
22,40
49,1
6,22
12,59
20,67
19,23
50,53
12,34
38,5
33,0
29,60
5,8
5,21
12,67
51,1
62,32
45,14
10,64
48,42
8,49
18,28
32,58
13,60
48,38
11,48
69,20
38,68
10,1
5,32
18,41
14,51
48,44
2,51
62,33
42,20
52,29
61,34
64,19
9,33
31,49
8,24
16,14
42,59
40,58
50,20
47,48
34,54
29,1
63,58
40,4
42,6
34,41
24,58
19,13
37,52
19,23
44,24
39,61
13,4
49,58
43,51
1,59
30,15
7,4
7,66
68,40
66,18
24,48
7,36
54,12
54,55
65,23
44,5
34,41
64,67
47,35
19,26
29,1
64,18
6,64
9,14
2,54
46,40
21,35
51,10
10,65
3,67
51,22
52,30
13,11
16,24
4,34
67,47
43,58
50,11
13,48
23,25
31,45
20,62
6,21
44,19
30,13
24,69
25,11
13,63
56,5
38,53
30,29
64,55
66,61
69,50
36,70
19,58
49,5
43,49
63,67
35,64
30,4
57,6
64,26
42,57
34,48
45,25
44,63
55,57
34,45
10,44
8,35
54,45
61,21
40,53
8,6
17,0
8,4
63,27
48,54
35,10
51,43
2,44
63,59
54,16
16,52
36,10
61,22
1,69
44,22
58,16
62,14
55,27
13,67
67,68
44,1
34,46
24,38
4,67
0,49
25,23
58,41
4,46
67,33
48,47
7,40
47,0
50,29
40,38
41,14
47,67
47,37
40,17
66,33
61,25
20,51
2,42
28,0
62,16
10,33
41,9
7,9
11,49
49,40
38,7
33,55
50,55
39,55
36,50
68,16
2,5
19,69
69,16
8,41
3,66
9,60
31,67
10,15
61,21
8,0
4,38
63,3
28,25
69,65
36,51
55,62
3,21
4,12
67,25
67,64
56,14
23,3
17,47
26,51
29,49
2,30
54,51
27,22
63,6
55,27
45,38
54,34
48,4
42,37
6,6
22,16
54,13
19,30
56,41
26,39
68,52
36,25
53,46
3,9
12,14
17,54
70,29
26,27
44,45
34,67
57,20
50,31
59,54
0,26
57,18
6,19
33,18
66,1
6,7
65,17
3,8
63,7
36,66
66,66
5,14
23,49
7,16
68,6
64,23
6,47
41,60
5,28
0,41
47,58
21,43
44,54
64,14
34,24
69,5
47,2
54,62
42,6
16,42
43,12
41,59
58,38
59,54
30,52
38,41
40,13
18,64
55,16
24,3
63,60
50,38
15,70
4,24
19,4
0,12
70,15
34,70
42,27
14,53
37,67
67,42
48,5
22,11
12,52
1,22
60,62
39,42
23,46
66,25
35,38
63,8
19,46
13,31
45,3
37,32
58,52
29,35
17,23
23,19
57,40
16,8
59,29
37,44
28,63
55,61
31,61
59,31
38,23
7,11
16,0
18,42
42,60
6,8
44,9
8,11
5,22
62,14
47,41
19,19
69,16
33,19
15,12
30,70
10,68
68,47
3,1
24,21
10,63
30,2
25,39
2,35
49,70
51,3
5,65
1,16
43,54
14,29
37,59
15,25
14,23
14,43
51,61
16,28
17,55
61,32
62,58
64,29
16,36
45,50
12,44
58,12
63,65
67,69
11,56
4,16
28,16
54,7
57,3
2,61
28,1
68,16
35,20
46,24
66,59
30,6
33,7
25,18
1,35
46,9
61,22
29,28
58,15
17,61
12,8
56,64
32,7
67,10
2,2
29,59
23,27
61,52
49,57
27,19
69,61
5,40
19,35
35,4
17,63
69,3
58,45
31,33
29,60
56,3
22,1
62,53
69,35
46,41
10,37
35,27
68,69
48,35
49,17
62,38
22,8
30,37
65,36
50,70
63,62
21,1
17,31
42,46
36,64
42,47
44,12
29,69
53,35
66,2
58,10
10,15
24,57
18,50
7,51
21,54
12,54
44,33
56,60
33,19
6,56
60,63
8,38
22,39
49,0
17,19
38,42
65,57
33,46
20,52
38,55
14,12
4,11
35,33
66,58
20,23
11,58
21,28
61,25
43,32
57,67
31,3
49,40
27,27
26,59
25,16
69,7
46,33
52,41
6,60
17,7
65,2
8,20
38,50
14,2
43,9
12,46
70,64
11,40
22,20
43,40
70,32
56,4
28,66
4,40
54,13
12,47
49,6
13,60
29,55
69,33
65,0
25,70
6,66
62,38
32,48
49,1
70,57
43,10
36,56
55,5
52,10
6,31
15,41
25,17
41,54
4,6
26,5
8,6
58,10
53,28
9,58
32,57
56,15
24,43
42,66
56,42
60,52
40,33
35,61
4,65
43,18
5,52
33,69
0,64
27,36
2,44
33,61
22,6
9,40
6,18
58,6
12,68
11,51
0,47
35,59
62,62
30,40
53,30
27,19
4,70
36,16
26,66
15,62
38,23
70,46
65,38
33,24
62,9
61,4
16,63
20,36
68,8
2,20
22,62
30,56
18,11
51,3
25,42
37,50
11,45
46,33
51,45
34,36
48,68
51,36
63,42
42,64
67,56
67,3
2,9
21,37
43,23
62,54
52,70
63,59
9,37
50,13
28,9
15,56
36,17
50,28
28,8
46,54
42,12
31,20
35,16
61,57
63,15
68,30
30,56
57,54
56,9
45,26
9,22
49,50
40,42
8,4
17,56
30,54
20,8
58,17
22,8
53,17
50,6
48,62
57,5
23,37
52,48
22,30
22,31
62,17
30,55
41,51
57,61
52,66
11,61
51,26
13,48
46,21
37,18
13,55
48,9
35,27
12,37
28,22
31,1
21,70
36,1
61,16
35,47
33,64
33,35
13,70
27,0
11,36
39,46
7,24
10,54
56,5
9,56
62,8
28,32
47,32
33,12
34,19
26,0
9,37
27,18
70,70
46,33
19,62
57,2
60,17
25,54
35,13
39,63
4,1
18,22
36,47
20,8
58,54
57,50
61,29
68,64
26,13
22,29
39,50
59,52
3,0
23,21
35,13
34,65
45,45
56,1
31,64
35,7
32,31
30,36
62,68
38,27
55,51
5,9
49,59
17,53
67,13
65,20
15,62
2,0
48,65
64,16
27,55
30,26
7,4
33,9
11,27
21,19
23,25
51,20
4,49
46,17
52,35
61,42
55,23
29,22
50,37
32,8
20,51
37,20
18,39
23,59
8,63
46,37
32,61
27,34
2,6
28,31
53,50
27,68
51,43
26,26
1,9
40,65
48,5
39,45
0,17
2,27
30,24
1,11
56,52
52,18
38,22
58,47
23,29
32,18
37,44
7,25
44,37
46,19
46,10
2,50
24,25
67,44
46,66
31,59
28,5
33,32
56,5
61,20
69,23
62,54
60,67
14,42
39,16
27,0
3,57
23,45
36,54
48,33
53,61
7,38
60,38
0,48
51,41
3,5
59,13
43,24
34,19
41,27
60,63
69,9
5,31
58,35
10,50
51,44
66,37
24,58
8,37
30,1
23,11
15,13
20,24
34,41
27,7
65,68
26,65
68,10
0,33
26,57
1,57
58,14
5,53
12,1
60,32
37,27
42,20
63,63
58,59
40,52
17,14
0,53
61,42
20,34
3,45
1,67
25,3
8,28
24,64
65,17
41,52
25,10
30,61
23,37
57,40
60,36
13,54
12,22
68,8
64,66
20,28
30,5
50,36
17,46
62,19
10,34
29,70
48,57
12,8
35,3
52,11
14,41
19,24
67,53
12,48
38,1
59,9
52,49
15,58
1,0
40,25
59,36
51,58
30,56
69,28
22,20
39,1
2,32
28,50
62,12
43,21
22,43
27,61
9,32
11,63
54,64
20,19
6,10
28,69
12,35
45,14
53,38
23,49
56,54
10,62
50,32
13,22
24,22
58,48
47,33
63,21
53,25
54,62
6,3
41,37
10,46
2,59
37,70
54,32
11,34
31,34
39,63
11,58
10,30
39,24
2,48
17,49
7,69
12,29
62,46
39,48
65,22
1,27
23,60
68,26
59,12
19,20
27,1
22,49
42,3
69,43
65,13
36,21
27,16
10,5
47,58
27,7
11,1
21,16
19,40
24,54
16,45
39,48
48,39
21,53
63,3
1,20
40,64
69,26
37,3
43,9
5,63
39,65
57,53
70,69
11,50
10,55
47,3
4,6
1,36
9,13
37,14
48,46
36,27
46,61
68,40
14,2
52,54
9,48
4,30
19,11
69,45
9,5
17,36
36,55
54,22
0,56
46,24
53,69
12,16
31,24
31,22
11,34
68,8
16,59
14,56
64,0
21,67
15,51
39,59
47,6
15,69
70,4
59,42
56,6
4,42
13,29
44,23
57,50
49,16
12,32
46,40
28,29
41,34
21,34
58,50
40,9
39,39
47,12
27,66
26,45
51,4
25,2
57,69
52,43
32,51
70,70
7,5
14,43
14,30
1,46
45,9
55,40
13,27
32,3
26,42
63,68
60,4
51,28
2,64
48,46
43,30
1,6
41,2
0,21
56,68
9,63
0,43
17,10
26,69
66,39
31,6
45,42
44,26
62,9
1,12
60,69
23,40
24,55
3,44
0,46
21,29
35,17
58,59
70,25
45,29
9,18
31,50
49,31
24,32
12,16
57,52
0,5
40,24
49,65
36,4
20,17
47,69
42,32
22,12
12,67
59,25
30,22
47,32
59,58
41,49
42,21
38,26
50,59
22,29
20,46
44,1
44,7
38,13
12,7
33,9
41,49
62,39
44,70
57,6
5,5
49,14
60,0
68,70
18,18
38,65
42,6
51,1
55,29
41,8
32,68
29,4
49,5
31,68
20,17
68,25
37,2
58,33
49,63
30,39
58,36
39,17
48,35
20,47
55,53
15,11
0,29
5,60
2,32
37,67
8,56
47,57
41,62
51,17
61,34
54,70
25,62
17,2
8,65
18,13
69,49
68,60
14,19
70,6
38,24
65,14
22,1
12,63
24,4
3,23
39,25
58,54
46,52
30,58
13,11
63,33
16,22
26,10
56,25
10,67
25,1
31,44
28,6
9,29
70,18
15,44
20,25
46,9
13,16
52,62
43,8
52,61
57,64
21,14
37,6
19,21
48,63
4,63
21,52
2,1
24,32
46,69
36,2
58,21
68,27
41,62
57,7
65,42
66,61
5,51
53,68
37,48
64,30
64,56
52,39
39,47
11,40
8,9
58,22
40,6
1,0
4,64
46,8
53,22
42,1
21,69
62,38
18,67
1,36
52,14
55,59
67,55
54,25
0,17
53,5
10,26
66,66
70,9
36,46
27,14
26,24
64,60
27,29
27,24
55,70
6,1
48,22
14,49
32,60
58,13
23,47
32,17
61,58
14,50
52,61
53,69
59,33
59,69
25,29
2,3
20,40
50,45
42,46
14,0
15,27
0,30
68,53
45,40
6,24
34,23
45,9
36,19
42,62
7,59
68,8
26,27
59,60
34,36
69,15
31,11
11,48
63,55
28,38
60,12
36,36
36,36
36,69
55,16
9,51
23,46
28,46
23,61
21,66
10,45
42,62
14,57
30,65
52,31
21,28
52,27
4,68
3,18
53,27
51,70
48,70
19,5
67,8
13,37
4,37
3,18
67,56
34,37
50,61
30,11
36,3
15,59
42,31
46,27
12,63
44,58
61,66
64,49
20,0
60,52
26,51
18,23
61,15
43,45
18,51
36,19
46,63
45,50
50,1
22,64
0,37
29,31
13,15
10,48
18,34
34,17
36,14
15,30
44,21
33,66
13,62
10,67
17,3
41,69
58,40
51,54
45,23
44,26
21,33
21,54
70,16
66,13
19,18
69,7
55,25
66,58
48,32
44,6
44,67
19,63
22,54
29,68
39,37
18,39
18,8
18,22
58,52
21,35
20,60
37,5
43,13
55,54
52,15
53,44
13,20
2,7
5,51
52,15
38,19
40,48
2,65
26,4
29,47
68,58
10,48
65,39
32,55
2,11
13,42
23,23
1,43
45,13
65,60
65,63
2,9
2,31
20,21
53,0
50,19
12,70
38,70
45,13
3,67
20,34
3,34
69,30
48,62
70,0
57,2
14,27
29,40
8,52
25,21
53,49
44,51
62,24
20,44
63,65
55,23
69,16
43,10
44,18
63,21
56,25
5,65
13,67
47,10
50,58
66,15
15,6
18,64
39,40
18,35
31,44
57,46
53,51
18,9
63,4
33,16
43,51
27,59
70,49
20,41
39,61
63,41
43,47
47,24
29,50
39,54
12,5
4,10
65,65
10,22
20,12
15,46
7,35
34,57
70,35
68,43
61,27
23,29
30,69
52,21
50,1
52,17
24,62
60,14
47,56
67,37
5,23
44,58
23,5
40,41
11,47
50,69
40,12
66,42
33,57
18,19
31,4
26,69
6,39
59,31
38,70
69,14
1,66
31,46
9,10
63,69
19,6
12,57
39,63
14,62
49,51
12,38
26,42
32,16
60,13
1,56
12,27
54,47
66,22
44,14
28,20
6,16
14,5
54,23
15,33
41,16
62,14
13,34
36,69
63,32
65,0
43,12
23,36
37,27
14,68
2,34
11,39
39,7
62,65
14,33
10,31
0,46
2,46
9,65
6,44
62,23
56,9
18,58
68,45
5,53
31,67
9,66
43,50
22,27
43,30
7,24
35,60
15,37
45,29
38,28
13,53
65,68
10,62
1,39
2,3
13,42
15,69
58,50
24,42
20,17
47,15
16,20
17,20
38,36
53,50
42,12
20,0
18,9
42,67
69,54
12,51
22,65
19,62
1,54
43,48
46,31
43,59
36,2
41,60
2,65
9,45
5,44
25,1
55,11
49,69
65,19
68,23
54,4
24,3
36,51
67,41
21,56
29,19
0,13
59,1
11,63
43,42
25,67
23,17
47,17
43,68
50,64
26,62
2,61
13,33
25,5
24,9
69,59
63,2
56,2
7,43
45,52
52,24
33,6
33,2
64,21
46,67
44,45
47,7
19,7
55,60
39,60
17,28
12,8
6,37
21,27
31,19
15,25
44,39
26,53
5,50
52,48
12,1
9,23
11,41
65,29
29,45
62,23
0,32
14,39
44,64
12,54
29,24
55,15
42,32
4,14
46,58
44,65
20,12
11,11
1,40
17,6
5,64
11,38
35,17
68,67
60,30
70,14
41,28
46,14
16,64
53,35
22,43
61,2
27,25
0,9
24,58
37,44
48,33
60,64
55,40
23,51
12,26
4,43
7,14
46,30
19,14
57,32
16,60
52,21
29,38
15,56
8,51
23,52
35,66
7,61
36,9
24,33
55,33
2,52
34,41
57,7
13,65
36,17
45,61
14,56
69,4
60,38
14,26
42,54
46,70
70,4
17,58
27,4
63,7
9,6
8,55
40,61
56,29
55,44
29,11
16,63
49,52
27,21
13,55
6,65
67,48
70,19
54,47
7,49
12,12
41,69
63,2
30,56
68,53
41,36
41,65
14,50
63,40
6,67
44,42
28,63
17,56
16,30
59,36
23,57
14,35
23,42
52,2
9,40
65,39
25,34
64,20
3,32
17,35
59,40
6,66
22,60
61,23
25,42
53,22
54,45
11,13
43,70
61,36
19,0
68,4
33,24
37,33
62,58
52,60
7,69
56,47
47,63
45,17
63,32
14,60
11,9
63,27
59,36
34,41
55,3
7,31
18,30
37,41
48,44
15,21
47,36
55,23
53,37
54,17
6,22
19,41
33,44
18,37
48,18
20,15
51,4
61,64
50,51
62,42
63,17
63,61
40,42
70,64
33,41
56,1
70,17
5,65
31,13
1,36
63,23
63,19
34,34
30,45
59,42
52,30
25,50
45,43
37,49
62,25
34,35
35,59
0,38
10,12
35,7
48,55
66,67
6,65
45,67
39,49
34,56
49,70
35,8
4,43
15,61
62,55
49,57
60,53
45,3
59,2
12,22
36,40
17,41
27,26
65,25
27,27
35,65
15,1
53,70
41,9
67,60
30,33
13,12
56,49
61,70
39,37
47,34
15,15
13,44
8,51
44,26
5,70
2,32
60,9
37,28
47,14
50,18
36,68
17,2
59,12
57,2
61,7
25,40
40,33
23,30
46,50
18,66
59,0
27,9
35,59
24,41
68,49
35,41
52,10
47,0
30,69
40,37
65,15
54,3
26,68
4,49
59,70
42,52
50,61
15,10
6,2
48,60
39,70
2,12
47,0
59,42
3,62
23,55
34,6
1,29
14,21
10,25
39,4
57,1
65,41
33,56
69,56
26,38
62,31
0,37
59,15
52,67
49,0
51,70
19,67
42,10
9,6
6,35
11,64
65,53
61,50
64,52
19,25
39,0
53,54
47,40
30,4
25,44
31,34
20,7
20,55
70,42
29,19
64,23
13,3
27,28
63,20
4,67
6,60
55,11
21,33
52,5
52,21
56,37
47,55
57,20
69,18
16,20
4,37
61,18
5,33
20,15
56,68
20,0
69,21
13,20
48,22
16,63
66,62
63,0
55,46
68,7
61,58
70,29
65,41
21,63
44,7
63,33
11,31
31,11
51,7
57,9
40,30
61,32
37,8
63,61
35,60
52,8
55,69
11,58
31,0
7,18
41,7
60,4
2,5
38,19
22,64
66,35
33,17
65,18
52,37
32,36
3,21
4,8
15,51
9,40
68,41
21,20
57,11
65,35
1,57
60,59
58,60
69,51
59,44
6,53
32,13
35,28
18,1
67,34
36,1
37,36
60,68
45,21
46,18
6,21
14,54
32,56
37,32
7,53
29,29
4,41
6,44
16,65
4,44
18,43
55,51
4,26
57,67
28,43
12,52
52,50
8,10
25,18
70,65
40,9
15,40
2,39
16,40
43,16
35,58
11,47
4,4
7,39
68,49
12,5
32,43
43,70
49,2
24,14
45,52
3,5
25,67
14,1
1,68
15,58
29,15
59,44
17,38
51,6
65,20
30,66
5,2
27,4
41,18
36,15
1,66
6,35
21,11
10,15
61,47
38,49
51,9
47,55
7,37
24,63
24,36
12,10
58,36
40,24
30,55
23,48
47,30
10,16
48,12
69,70
7,6
24,57
59,52
66,15
25,40
60,38
54,41
5,40
28,60
23,27
18,23
24,50
37,64
3,26
23,39
61,70
26,7
17,53
3,41
27,68
57,59
6,26
8,1
4,30
52,57
32,69
25,21
34,8
46,37
8,43
49,14
19,62
54,39
66,34
48,0
36,13
23,60
68,46
5,21
15,34
21,10
25,25
21,55
3,44
9,48
53,35
52,33
2,58
68,20
44,30
4,23
17,23
40,56
57,61
32,67
70,68
11,10
53,2
62,68
62,11
55,50
29,13
36,3
20,63
68,16
44,22
62,20
52,57
39,5
37,54
49,49
11,26
0,64
7,3
17,19
49,33
57,59
54,0
14,51
30,8
66,17
17,69
53,26
42,13
7,46
47,61
65,14
49,3
69,6
24,44
0,33
7,19
55,47
0,32
17,24
2,36
60,69
18,47
6,21
13,5
34,12
11,57
26,15
19,51
36,4
5,24
10,50
3,2
42,57
14,61
6,51
38,10
37,50
44,34
14,6
25,28
15,55
25,65
48,31
53,39
17,21
40,17
54,67
62,63
54,30
0,67
38,52
29,55
31,21
47,70
3,26
4,6
50,61
55,3
31,4
49,28
70,60
8,69
8,20
33,21
56,16
3,29
23,18
44,67
4,16
0,33
13,14
69,19
21,19
29,14
47,30
69,14
70,20
61,18
45,53
54,66
49,1
17,69
57,53
9,57
17,56
24,44
0,36
28,68
8,41
13,54
53,3
64,17
9,11
34,15
44,34
41,23
35,31
4,24
16,60
16,21
50,19
15,39
69,47
36,0
49,7
2,65
56,48
26,14
69,28
41,0
26,1
56,10
10,57
62,53
7,4
38,20
10,24
9,9
7,35
63,57
54,50
54,12
50,38
51,22
10,53
40,65
13,8
33,28
49,41
14,28
16,64
12,49
30,65
15,44
33,15
14,63
68,16
12,11
0,3
27,21
18,6
15,60
38,47
12,3
63,7
70,56
61,69
45,7
18,40
51,50
23,59
8,36
19,1
33,42
66,32
54,30
65,5
62,52
45,50
7,32
19,50
10,10
35,11
51,39
20,19
16,5
34,68
17,9
33,56
0,47
61,25
39,3
64,27
24,54
45,46
53,50
40,18
46,47
22,41
45,24
67,48
68,52
27,47
44,59
16,7
67,30
30,45
20,23
45,68
5,51
70,40
33,45
13,44
28,6
52,31
42,50
23,24
52,54
14,25
57,24
11,46
67,35
62,29
60,41
58,62
52,20
30,33
25,39
10,18
70,53
30,49
20,18
22,63
50,5
27,22
14,31
62,16
53,60
51,28
11,39
34,16
34,64
56,5
70,69
49,27
35,40
0,31
0,25
4,52
11,37
46,12
15,15
65,46
63,17
5,11
64,67
64,56
25,49
32,41
68,69
35,55
29,52
62,22
24,70
26,62
44,48
49,44
34,16
21,21
70,11
61,4
35,34
12,63
27,52
65,35
25,20
13,60
29,52
52,46
24,27
3,17
13,43
4,69
37,58
59,12
68,19
29,1
15,38
46,1
50,50
25,42
29,24
22,60
46,25
40,23
59,45
22,28
18,37
8,54
31,14
48,18
58,33
51,69
33,32
52,70
8,65
61,42
17,70
65,16
6,30
44,10
23,70
56,21
3,30
10,66
67,61
8,65
31,65
21,45
52,17
14,14
34,36
30,10
38,21
43,4
17,5
43,2
42,17
67,4
63,59
62,43
58,27
30,60
30,15
58,51
24,49
0,22
67,26
55,56
29,26
18,6
68,37
53,64
20,67
26,0
62,20
2,69
31,61
24,53
39,40
36,13
43,59
33,48
68,68
42,61
41,33
4,23
20,66
57,26
20,28
57,6
0,34
54,4
9,38
44,39
62,64
22,41
11,25
43,12
13,7
34,29
9,44
37,64
38,35
42,25
34,67
45,20
68,11
21,61
42,64
66,38
60,21
70,52
15,37
69,69
66,21
46,22
3,7
38,10
58,19
5,62
4,38
37,60
33,15
10,17
7,38
34,35
40,67
28,23
16,9
25,10
70,18
27,37
69,55
50,61
57,1
12,6
69,44
12,44
43,15
66,64
8,0
38,41
61,25
0,61
2,36
21,59
16,52
23,37
44,61
6,18
64,54
66,39
54,39
14,19
18,14
47,4
37,33
36,4
34,67
29,25
16,37
17,35
32,13
58,32
32,10
63,20
48,1
18,56
43,8
52,44
64,53
8,24
13,37
61,17
20,22
19,21
0,19
10,60
58,23
2,13
23,50
34,45
16,1
9,66
60,47
47,29
41,67
59,0
50,54
3,68
40,21
46,26
68,60
40,55
21,40
12,41
51,41
52,59
66,4
6,21
39,55
7,28
11,3
51,18
33,39
34,31
36,55
64,15
62,8
28,51
38,32
69,25
25,70
41,54
25,10
31,12
22,48
69,44
64,68
2,6
39,13
33,49
16,31
52,1
26,26
11,27
66,7
54,57
18,43
9,66
65,12
50,38
9,24
29,3
44,26
70,65
13,55
24,3
33,2
21,67
3,67
9,46
64,23
64,39
12,16
21,34
20,8
70,13
31,34
23,36
70,19
11,49
38,11
44,59
12,21
7,28
59,5
48,36
18,37
7,69
0,45
11,1
35,40
60,47
40,32
2,42
14,11
22,16
23,16
62,43
5,41
5,69
5,11
35,49
57,52
2,25
60,33
13,20
53,60
24,0
22,21
57,42
10,62
14,1
30,38
5,60
8,52
49,70
51,67
63,8
14,49
68,21
23,58
36,11
8,22
21,12
21,33
12,61
34,16
51,27
40,31
50,15
29,8
25,61
31,34
58,39
36,32
0,40
41,61
39,33
30,45
18,41
13,51
27,69
54,52
29,23
22,7
37,34
29,43
67,8
38,67
3,67
21,28
63,34
26,25
56,12
44,37
18,12
40,43
49,43
36,62
53,13
35,12
3,59
48,6
52,8
46,70
15,36
24,31
26,70
4,17
27,32
57,59
35,62
29,45
21,27
28,70
15,46
35,15
49,53
28,59
13,20
45,9
18,10
17,7
2,37
22,38
48,30
12,43
35,62
26,23
59,17
70,48
57,51
1,59
53,59
60,5
39,45
5,49
44,48
17,29
68,46
62,36
5,61
33,29
46,0
8,37
40,6
33,28
1,42
35,9
4,30
59,60
19,41
24,59
11,30
50,7
21,44
12,57
33,32
64,54
35,27
43,4
17,66
4,40
42,63
58,12
44,24
48,55
38,11
30,10
66,70
1,33
19,4
17,35
14,55
34,38
27,55
35,63
27,58
32,7
51,2
57,56
64,12
31,46
34,23
18,49
51,69
49,33
14,53
24,61
55,30
52,61
34,27
30,48
18,21
40,33
67,65
35,26
56,26
7,58
63,13
23,18
1,48
67,36
53,29
4,47
42,63
30,66
28,23
60,18
42,0
16,7
12,40
69,10
58,56
14,54
33,39
0,48
18,20
20,14
23,47
31,4
37,23
55,0
35,50
69,32
43,29
50,6
62,11
26,52
41,60
65,43
42,37
55,35
41,47
53,1
25,40
3,62
25,37
67,0
52,36
35,70
18,45
25,55
59,36
56,56
23,54
20,17
32,45
53,8
38,21
53,35
62,1
20,38
63,58
68,63
34,1
69,53
19,40
45,21
35,32
69,28
28,15
31,23
32,62
2,56
34,42
28,14
53,63
64,58
5,57
48,29
4,0
47,15
60,23
4,37
65,49
21,33
17,34
4,18
18,12
35,29
1,38
26,18
8,21
17,39
3,20
65,29
42,36
59,35
45,9
17,42
64,19
52,59
24,2
35,64
23,10
64,21
2,33
30,53
2,56
26,35
31,4
44,62
31,59
34,6
47,24
32,18
35,0
8,27
20,14
59,34
14,47
60,52
27,55
57,62
43,22
56,4
43,58
57,36
59,33
64,39
61,45
52,16
36,42
10,29
62,10
29,32
66,37
25,51
59,30
34,23
55,45
22,4
60,15
33,58
66,25
68,68
27,55
65,8
1,41
30,22
26,38
22,17
38,31
18,10
9,31
26,17
50,47
69,28
66,57
29,28
36,61
68,34
61,47
8,41
67,48
41,43
14,66
68,53
18,16
47,20
21,64
44,36
21,41
70,34
39,69
14,10
41,10
35,21
26,52
63,53
3,24
35,44
49,25
54,19
18,5
57,28
39,54
25,4
10,29
34,0
51,6
13,57
41,63
52,29
25,24
34,51
40,39
14,69
39,11
67,9
14,0
20,53
30,67
32,12
48,9
14,2
57,10
31,31
19,45
41,39
62,67
68,14
59,35
55,51
58,23
52,47
46,37
31,41
51,5
0,4
42,58
66,21
47,15
59,36
18,25
25,17
21,13
